N,P,K,temperature,humidity,ph,rainfall,soil_texture,label
660.03,14.61,195.44,28.33,64.35,5.33,200.14,Loamy,cassava
340.68,10.65,91.0,30.75,51.83,8.04,81.02,Loamy,sorghum
453.68,8.49,246.97,28.62,73.32,6.67,178.72,Loamy,cassava
797.1,21.7,285.38,25.07,80.5,5.23,250.35,Clay,oil_palm
685.04,8.5,301.49,27.25,70.8,6.32,200.32,Loamy,yam
900.72,22.3,187.08,24.48,76.9,6.01,298.36,Clay,cocoa
979.76,21.6,283.59,29.69,83.22,5.03,271.47,Clay,oil_palm
249.87,9.63,53.63,31.64,28.19,6.92,38.85,Sandy,millet
360.71,7.62,78.0,26.65,31.13,8.16,89.89,Loamy,sorghum
833.21,17.33,118.82,24.13,62.12,6.98,64.14,Loamy,maize
379.23,7.37,40.08,30.89,44.39,6.97,73.97,Loamy,millet
1056.47,23.55,117.2,20.29,65.15,5.77,73.61,Loamy,maize
640.97,21.94,247.19,25.37,85.63,4.85,250.01,Loamy,oil_palm
466.46,11.61,75.47,34.72,39.73,7.42,40.12,Loamy,millet
686.57,5.81,251.12,30.36,67.08,5.91,173.99,Loamy,cassava
263.82,14.86,55.72,31.53,36.19,7.43,98.4,Loamy,sorghum
1033.22,26.36,128.05,20.27,82.06,5.07,269.18,Clay,rice
577.01,14.67,288.93,27.66,61.77,5.46,201.15,Sandy,cassava
798.24,11.26,219.73,25.42,70.09,5.53,162.79,Loamy,yam
460.71,5.94,159.33,27.13,78.79,6.1,192.76,Sandy,cassava
419.76,15.7,245.15,30.5,56.56,6.3,200.98,Loamy,cassava
308.75,9.53,62.3,30.96,47.99,6.76,80.27,Loamy,millet
586.75,15.93,232.46,26.4,81.02,6.08,258.75,Clay,cocoa
935.33,17.63,272.33,24.38,84.61,6.81,293.91,Clay,cocoa
471.86,18.36,261.99,25.05,69.12,6.5,144.66,Loamy,yam
827.86,29.39,124.45,24.49,82.08,6.15,247.17,Clay,rice
482.73,8.13,250.25,29.16,66.33,5.52,183.32,Sandy,yam
417.85,5.22,167.78,29.93,78.32,6.54,200.54,Sandy,cassava
773.85,18.46,111.93,25.04,70.2,6.66,71.06,Loamy,maize
391.1,16.83,161.44,27.28,72.67,5.93,157.5,Sandy,cassava
747.15,23.47,124.58,22.9,84.94,5.63,259.8,Loamy,rice
422.47,8.02,82.17,34.68,32.74,7.71,69.63,Loamy,millet
351.0,3.35,81.12,30.09,46.48,6.51,85.81,Sandy,millet
527.8,15.28,266.71,26.65,87.4,6.76,239.22,Loamy,cocoa
743.07,9.78,256.5,23.3,79.74,6.47,271.16,Loamy,cocoa
201.81,4.78,48.27,33.6,40.56,7.21,51.47,Sandy,millet
1236.89,23.02,118.58,25.91,84.14,6.28,276.59,Loamy,rice
813.66,23.27,196.85,24.13,77.85,6.41,242.65,Loamy,cocoa
232.6,8.38,37.88,27.24,28.77,7.15,72.77,Sandy,millet
361.66,15.71,161.34,30.85,67.97,6.42,192.33,Loamy,cassava
378.94,8.04,42.21,28.29,50.35,6.77,49.74,Sandy,millet
839.25,9.98,292.76,23.0,89.09,6.49,284.84,Loamy,cocoa
963.56,15.31,260.23,27.45,76.29,6.49,270.94,Loamy,cocoa
718.68,15.16,84.54,25.76,83.24,6.21,243.29,Sandy,rice
1021.81,17.22,162.19,19.29,71.33,5.86,96.24,Sandy,maize
474.21,14.07,224.37,26.32,78.87,6.04,152.59,Loamy,yam
489.75,6.94,78.11,28.52,40.12,7.06,53.82,Sandy,millet
984.04,20.44,217.89,26.36,76.98,6.37,251.84,Loamy,cocoa
1117.86,21.51,91.82,26.13,71.34,5.84,76.71,Loamy,maize
873.12,11.01,297.16,31.54,85.02,6.06,280.77,Loamy,oil_palm
936.03,21.49,275.77,27.94,82.08,6.22,287.38,Loamy,oil_palm
1008.91,15.42,278.64,29.8,88.7,4.62,298.89,Loamy,oil_palm
627.87,10.34,104.77,23.23,60.05,6.46,72.89,Clay,maize
762.37,8.56,209.56,23.67,76.19,6.8,244.48,Loamy,cocoa
832.46,12.63,60.68,25.96,84.78,6.47,198.25,Clay,rice
1081.86,28.89,67.71,25.32,80.49,6.36,245.6,Clay,rice
387.16,9.49,189.84,25.27,55.3,5.12,145.5,Loamy,cassava
463.02,9.68,187.65,27.17,71.66,5.13,197.21,Loamy,cassava
403.73,9.07,236.74,28.77,65.57,6.69,161.68,Loamy,cassava
684.45,13.79,291.41,25.48,61.95,5.93,211.23,Loamy,cassava
1090.2,17.33,81.12,26.27,83.63,6.24,251.19,Clay,rice
493.72,6.75,89.28,28.5,30.41,5.79,58.87,Loamy,sorghum
856.52,24.43,122.9,24.72,66.62,7.0,66.84,Loamy,maize
922.56,15.38,228.41,27.9,82.47,6.33,292.76,Clay,cocoa
264.93,8.63,62.86,29.08,45.29,8.16,83.65,Clay,sorghum
330.16,9.95,41.58,33.0,33.1,5.86,98.56,Loamy,sorghum
1081.17,10.58,266.47,26.34,79.63,5.2,252.62,Loamy,oil_palm
335.35,7.06,51.68,34.42,54.62,5.83,97.3,Loamy,sorghum
353.53,9.74,72.05,27.49,26.55,6.14,87.01,Sandy,millet
1075.14,17.25,277.73,25.56,90.11,4.52,273.69,Loamy,oil_palm
636.45,23.02,255.1,27.84,85.52,5.44,290.1,Loamy,oil_palm
207.6,9.55,86.29,35.19,43.29,5.54,89.96,Sandy,millet
925.62,12.03,118.61,18.26,58.06,6.28,77.78,Loamy,maize
680.43,26.87,323.68,26.52,90.53,4.93,252.35,Loamy,oil_palm
308.98,4.06,84.6,32.25,49.85,6.87,35.92,Sandy,millet
539.47,19.49,305.4,23.47,75.6,5.99,291.28,Loamy,cocoa
744.97,11.1,254.5,26.6,76.67,6.31,197.32,Loamy,yam
446.99,15.29,214.83,25.38,79.06,6.31,192.1,Clay,yam
463.85,17.12,168.83,26.34,61.26,6.27,184.72,Loamy,cassava
1125.44,10.61,66.25,26.83,83.22,7.12,268.79,Clay,rice
466.11,5.93,77.0,30.84,34.09,7.44,67.13,Sandy,sorghum
460.86,9.64,88.34,28.92,32.39,7.42,94.38,Loamy,sorghum
494.24,5.75,202.21,31.65,62.67,5.54,196.7,Loamy,cassava
696.05,11.76,239.66,23.01,80.88,6.76,275.19,Loamy,cocoa
1216.07,20.14,75.12,20.85,79.49,6.4,188.36,Clay,rice
535.49,19.26,292.71,31.67,69.57,6.11,143.12,Loamy,cassava
1010.63,10.6,72.28,26.21,81.23,5.87,292.6,Loamy,rice
1015.97,10.92,301.04,29.78,82.15,4.93,297.8,Loamy,oil_palm
729.16,8.18,267.19,26.13,80.38,6.49,247.28,Clay,cocoa
360.37,7.52,49.57,31.89,51.03,7.37,80.15,Sandy,millet
542.31,19.33,271.07,28.54,75.82,6.17,168.04,Sandy,cassava
784.87,13.85,202.35,28.66,78.45,6.59,181.61,Loamy,yam
565.57,17.39,270.89,25.5,64.23,6.48,176.88,Loamy,yam
1026.64,21.27,276.43,30.77,83.69,6.04,252.42,Loamy,oil_palm
419.72,9.43,59.97,31.79,37.6,6.27,85.21,Loamy,sorghum
492.63,16.49,210.53,26.95,64.52,6.1,176.97,Sandy,yam
1123.89,23.66,140.48,20.96,83.49,5.2,225.65,Sandy,rice
726.6,25.05,321.32,27.43,82.32,4.87,274.15,Clay,oil_palm
503.44,20.44,237.57,26.1,83.82,6.68,279.35,Loamy,cocoa
719.23,17.66,81.82,21.81,72.94,5.51,106.84,Clay,maize
1062.58,8.26,114.08,24.18,57.3,5.72,78.05,Loamy,maize
515.05,19.16,241.89,26.25,79.44,6.97,275.17,Loamy,cocoa
1169.33,22.91,91.61,24.28,65.64,6.02,86.28,Clay,maize
788.13,25.33,252.83,27.26,81.25,6.12,290.3,Loamy,oil_palm
581.4,17.47,283.31,24.63,76.29,6.51,275.2,Loamy,cocoa
462.84,16.61,234.61,27.03,74.68,5.68,187.45,Sandy,cassava
495.05,12.79,203.57,31.06,64.21,5.12,191.96,Loamy,cassava
1188.9,23.18,108.6,23.84,79.04,6.36,289.29,Loamy,rice
1111.34,23.28,80.53,23.08,84.43,5.68,192.08,Clay,rice
967.74,10.67,274.13,25.22,85.08,6.05,240.27,Loamy,cocoa
830.34,16.6,336.83,26.31,78.89,6.23,270.67,Clay,oil_palm
735.48,23.88,318.38,26.16,75.82,6.69,296.67,Loamy,cocoa
380.52,6.53,293.69,29.64,61.69,5.21,190.91,Loamy,cassava
766.65,12.22,269.86,30.48,84.19,4.4,269.99,Clay,oil_palm
644.43,14.68,82.33,20.73,62.96,6.02,62.57,Loamy,maize
786.59,11.32,153.51,25.69,73.59,6.25,96.41,Loamy,maize
533.08,23.87,227.24,26.33,80.18,6.99,277.02,Loamy,cocoa
798.54,17.81,142.89,27.97,58.42,5.71,65.33,Sandy,maize
642.85,13.82,223.19,23.2,83.12,6.55,231.68,Loamy,cocoa
605.55,14.4,287.87,29.47,79.6,5.62,161.28,Loamy,yam
430.83,7.34,47.11,35.75,26.48,7.64,72.23,Loamy,millet
529.56,16.2,205.03,28.48,71.04,6.38,163.71,Loamy,yam
523.71,8.98,286.93,25.56,67.64,5.74,215.38,Loamy,yam
472.86,9.92,71.5,31.01,29.37,6.65,83.76,Sandy,millet
596.19,6.87,298.99,25.36,73.57,5.7,158.31,Loamy,cassava
973.58,19.25,200.89,24.27,87.43,6.84,282.59,Clay,cocoa
452.13,8.86,234.09,26.07,68.51,5.51,204.77,Sandy,yam
792.26,20.56,234.74,29.09,67.34,6.27,167.99,Sandy,yam
408.1,14.44,208.22,25.9,60.13,6.0,157.19,Sandy,cassava
778.75,18.62,132.54,20.18,78.85,7.39,235.11,Loamy,rice
683.7,16.38,315.2,27.33,84.57,6.07,268.54,Clay,cocoa
876.93,18.71,272.32,26.47,80.75,6.74,282.63,Loamy,cocoa
693.6,12.11,177.59,22.93,64.22,6.69,104.63,Loamy,maize
575.31,16.92,265.97,31.07,68.72,5.8,197.82,Sandy,cassava
442.48,9.36,32.42,32.54,32.25,7.04,86.49,Loamy,millet
380.19,16.51,228.22,31.45,61.47,5.61,199.85,Sandy,cassava
605.45,16.48,287.89,27.57,68.22,6.58,143.57,Loamy,yam
396.8,10.26,58.39,31.87,34.92,8.23,67.65,Loamy,sorghum
496.6,16.31,260.39,25.32,71.56,6.23,198.54,Loamy,yam
1144.54,10.88,112.0,26.77,56.27,5.81,100.33,Loamy,maize
964.57,23.85,193.35,26.64,88.08,6.22,257.55,Loamy,cocoa
363.39,9.74,36.4,31.33,51.87,7.13,49.61,Loamy,millet
1097.24,19.08,125.83,27.33,67.12,5.69,72.27,Loamy,maize
1131.52,12.4,91.28,26.31,81.93,5.16,185.78,Clay,rice
483.72,17.51,260.53,25.62,66.81,5.65,151.12,Loamy,yam
719.92,14.04,98.54,22.57,83.09,5.56,274.61,Loamy,rice
723.77,12.97,137.65,20.71,83.88,5.13,282.69,Loamy,rice
622.13,16.88,174.72,22.74,72.99,5.81,90.79,Clay,maize
517.97,8.21,247.83,27.22,60.61,6.52,203.31,Loamy,yam
588.86,18.65,218.95,26.27,61.78,5.03,192.96,Sandy,cassava
1135.54,14.11,147.25,27.04,57.49,6.79,105.77,Sandy,maize
867.84,26.56,205.63,28.32,82.49,4.74,272.34,Clay,oil_palm
718.95,19.94,77.27,23.75,81.88,6.15,297.22,Clay,rice
400.16,15.52,249.78,28.22,62.89,5.79,158.58,Sandy,yam
1024.84,20.38,107.08,19.19,68.81,6.68,78.98,Loamy,maize
326.4,16.59,203.79,31.1,66.36,6.45,144.27,Loamy,cassava
1099.73,19.89,239.34,31.17,83.99,4.98,289.63,Clay,oil_palm
450.13,15.54,299.22,25.3,61.33,6.0,193.35,Sandy,cassava
273.77,9.98,102.59,34.59,59.19,7.66,64.98,Sandy,sorghum
785.63,10.04,185.5,24.47,76.58,5.87,242.21,Loamy,cocoa
797.72,14.16,216.44,28.91,65.78,6.09,140.74,Sandy,yam
770.9,10.16,161.28,26.97,59.64,6.5,104.3,Sandy,maize
698.93,23.95,296.89,25.13,75.93,6.42,231.41,Loamy,cocoa
552.79,11.5,239.31,28.14,64.57,6.32,153.01,Loamy,yam
509.58,19.63,301.9,25.78,87.05,6.09,281.05,Loamy,cocoa
864.53,20.3,87.66,22.82,84.78,6.07,199.91,Clay,rice
766.38,10.18,204.86,28.05,64.45,6.43,155.91,Loamy,yam
599.61,20.8,311.35,29.6,78.27,6.15,161.21,Loamy,yam
750.76,11.75,318.96,24.58,84.66,6.48,290.3,Loamy,cocoa
559.22,15.27,202.29,26.48,74.68,6.64,178.07,Loamy,yam
1119.71,20.95,112.3,22.69,62.29,6.3,77.09,Loamy,maize
592.87,22.06,295.65,25.66,82.22,6.23,278.32,Clay,cocoa
769.37,19.79,312.52,31.77,87.48,4.54,262.0,Clay,oil_palm
550.49,9.14,283.52,26.58,56.92,6.35,170.62,Loamy,cassava
655.36,14.72,222.61,26.3,70.81,6.23,193.69,Loamy,cassava
477.82,6.93,88.6,31.8,34.31,5.79,55.81,Sandy,millet
778.28,17.02,333.48,30.89,85.39,5.11,251.94,Clay,oil_palm
903.67,14.31,81.03,20.77,80.29,6.63,215.07,Clay,rice
833.19,12.57,240.33,28.18,80.4,5.22,289.2,Loamy,oil_palm
729.11,13.14,237.0,25.06,82.33,6.14,291.75,Loamy,oil_palm
755.03,9.22,270.11,29.71,66.46,6.48,158.39,Loamy,yam
530.2,5.85,78.98,32.77,33.46,8.0,89.06,Sandy,sorghum
640.52,9.44,306.59,26.38,83.73,6.27,251.88,Sandy,cocoa
886.39,16.31,270.47,30.59,88.45,5.89,282.11,Loamy,oil_palm
302.64,3.96,55.16,31.54,29.0,6.64,61.1,Sandy,millet
508.49,5.52,82.23,26.28,53.08,5.9,69.85,Sandy,sorghum
724.12,19.58,307.5,27.31,68.66,5.9,215.93,Loamy,yam
563.42,12.96,208.87,26.25,64.28,5.12,167.35,Clay,cassava
562.74,21.74,292.79,24.09,86.02,6.46,251.24,Loamy,cocoa
383.34,10.57,96.74,33.57,35.9,5.61,88.08,Sandy,sorghum
785.5,22.78,114.64,25.7,80.08,5.64,263.3,Clay,rice
533.21,5.2,71.5,30.94,40.91,7.92,84.06,Loamy,sorghum
886.22,15.39,130.25,25.47,79.24,7.27,222.28,Clay,rice
669.52,18.73,108.19,26.65,72.31,6.18,89.84,Loamy,maize
630.89,18.59,117.63,19.92,73.13,5.52,103.5,Loamy,maize
908.7,17.03,220.52,27.36,75.73,6.63,251.9,Clay,cocoa
261.74,5.49,56.07,35.8,34.68,7.47,88.98,Sandy,millet
788.95,14.85,260.89,26.5,78.24,6.48,286.84,Loamy,cocoa
802.57,9.6,90.11,21.29,65.46,5.66,66.03,Clay,maize
778.03,13.78,307.58,28.38,79.94,5.26,254.68,Clay,oil_palm
638.79,8.18,221.54,26.92,69.74,5.71,159.32,Sandy,cassava
356.5,11.86,42.64,34.87,30.25,8.0,55.71,Sandy,sorghum
755.29,13.91,238.75,23.25,81.78,5.97,277.53,Loamy,cocoa
854.86,14.6,342.13,31.44,82.72,4.69,252.0,Clay,oil_palm
515.23,12.41,212.41,24.48,77.43,6.99,262.1,Loamy,cocoa
427.95,11.28,43.7,33.95,28.42,5.63,86.08,Loamy,millet
377.85,12.45,172.04,26.98,63.66,6.58,156.18,Loamy,cassava
493.36,19.49,294.09,30.46,65.2,5.4,159.47,Sandy,cassava
824.72,23.44,85.17,25.77,58.38,5.68,70.39,Clay,maize
697.54,17.59,172.1,26.61,62.43,5.29,203.7,Sandy,cassava
772.85,13.73,279.06,28.34,75.1,6.04,170.08,Loamy,yam
631.62,23.84,183.61,25.88,85.95,6.38,260.08,Clay,cocoa
664.45,13.07,261.3,25.82,87.7,5.21,282.46,Clay,oil_palm
906.56,11.13,316.69,27.24,89.3,4.47,282.17,Loamy,oil_palm
959.4,27.09,91.65,26.08,82.31,5.68,296.06,Clay,rice
570.61,23.22,240.38,27.67,87.75,6.74,271.95,Loamy,cocoa
856.26,16.53,134.95,27.5,71.84,5.73,83.71,Loamy,maize
252.79,8.74,45.93,34.44,36.01,6.06,87.81,Sandy,sorghum
875.38,14.48,296.53,24.36,77.44,6.61,295.42,Loamy,cocoa
671.76,23.99,179.05,27.54,61.47,5.52,99.97,Loamy,maize
660.67,13.77,248.23,27.6,70.56,6.11,193.68,Sandy,yam
837.97,17.82,114.93,26.83,82.21,7.01,181.51,Loamy,rice
314.37,11.34,102.28,29.07,55.6,7.21,64.77,Sandy,sorghum
441.82,5.28,59.68,31.96,56.55,5.89,48.62,Loamy,sorghum
1261.73,22.36,89.1,21.51,78.04,6.21,193.29,Clay,rice
1192.13,22.44,86.94,19.5,60.7,6.0,83.8,Sandy,maize
733.26,13.75,156.15,27.8,71.29,6.51,89.81,Loamy,maize
436.24,10.23,228.19,29.6,71.82,6.13,174.68,Loamy,cassava
771.12,8.49,237.06,25.86,66.62,6.61,186.25,Loamy,yam
346.46,19.68,159.85,28.48,78.61,6.2,204.24,Clay,cassava
534.67,7.68,70.66,32.47,42.33,7.1,85.34,Sandy,sorghum
999.78,17.66,212.73,23.14,89.54,5.95,285.91,Clay,cocoa
390.69,4.91,89.08,31.08,40.18,7.43,75.56,Sandy,millet
531.31,6.08,95.09,33.84,57.18,6.68,54.44,Loamy,sorghum
577.25,19.2,182.32,25.33,89.02,6.81,286.83,Clay,cocoa
516.56,8.63,294.42,30.68,56.69,6.49,187.77,Sandy,cassava
250.12,13.08,90.44,30.03,48.82,6.12,71.45,Loamy,sorghum
1116.21,24.66,77.62,26.95,78.58,6.43,258.52,Clay,rice
955.45,23.92,121.96,27.69,55.73,6.58,91.67,Loamy,maize
919.59,14.11,222.9,27.59,84.72,6.3,247.93,Loamy,cocoa
1206.87,20.4,83.09,21.02,82.29,5.34,217.72,Clay,rice
576.62,10.17,220.83,28.78,66.3,6.07,156.13,Loamy,yam
863.96,14.75,143.43,25.72,80.67,5.07,285.89,Clay,rice
603.89,18.81,208.14,27.87,69.96,6.29,153.18,Loamy,yam
1266.17,19.85,69.13,25.64,83.42,6.3,230.13,Clay,rice
512.49,21.95,262.37,23.72,87.21,6.2,239.67,Loamy,cocoa
395.46,4.95,97.44,29.83,40.74,6.78,68.99,Loamy,sorghum
345.16,10.25,88.98,35.96,26.53,7.05,40.51,Sandy,millet
954.22,9.14,305.72,24.71,80.94,6.45,266.27,Loamy,cocoa
1089.28,14.25,148.3,26.42,65.49,6.1,70.75,Loamy,maize
421.09,7.15,87.02,30.75,31.62,6.49,45.37,Loamy,sorghum
875.59,18.8,291.13,25.89,88.54,6.23,276.36,Clay,cocoa
895.88,12.79,148.9,20.91,79.12,6.52,258.38,Loamy,rice
706.97,20.62,134.04,20.41,84.89,6.33,236.55,Clay,rice
450.56,5.79,94.57,29.73,54.96,6.09,61.7,Loamy,sorghum
671.92,14.38,141.82,22.93,68.3,5.53,71.5,Loamy,maize
693.33,14.28,300.96,26.61,65.83,5.89,172.57,Loamy,yam
488.47,10.54,72.07,29.35,45.75,7.6,79.88,Loamy,millet
495.83,11.15,53.43,26.65,47.05,7.33,51.61,Loamy,sorghum
921.12,16.5,70.97,26.03,82.6,5.2,286.83,Loamy,rice
897.11,23.25,127.35,24.2,61.44,6.38,87.71,Loamy,maize
737.28,17.69,170.54,25.55,60.09,6.35,72.48,Clay,maize
699.1,22.96,266.09,26.01,89.32,5.5,267.28,Loamy,oil_palm
721.4,19.19,221.62,24.57,81.08,6.94,251.17,Clay,cocoa
494.38,6.54,48.58,34.05,33.69,6.12,48.4,Loamy,millet
288.71,9.9,86.76,27.42,47.31,5.86,55.52,Loamy,sorghum
500.88,15.82,285.12,28.31,69.51,5.55,145.67,Loamy,yam
675.61,22.05,211.17,26.74,88.67,6.48,251.45,Loamy,cocoa
897.96,10.79,273.95,26.37,85.34,6.0,243.74,Loamy,cocoa
873.64,18.97,175.49,23.28,67.37,6.7,81.26,Clay,maize
387.63,4.49,67.0,30.02,49.0,5.68,76.92,Sandy,millet
447.2,4.09,84.79,31.59,34.12,5.71,47.93,Loamy,millet
1036.2,10.91,272.79,28.01,83.12,4.91,251.89,Clay,oil_palm
397.83,11.09,102.63,28.71,43.25,7.47,56.4,Sandy,sorghum
458.06,10.4,229.45,30.19,55.38,5.3,165.96,Sandy,cassava
610.57,26.09,284.74,29.25,79.02,6.24,251.55,Loamy,oil_palm
633.33,17.07,238.76,25.14,74.5,5.66,207.72,Sandy,yam
359.52,7.5,268.97,28.81,69.69,5.1,160.77,Sandy,cassava
609.35,12.62,298.19,26.9,76.62,6.45,264.74,Loamy,cocoa
971.39,29.99,89.97,21.05,81.14,5.13,267.2,Clay,rice
1001.85,12.79,254.27,26.86,90.17,4.86,270.8,Clay,oil_palm
431.8,11.32,89.38,30.88,31.34,7.76,50.21,Sandy,sorghum
335.44,19.45,236.57,25.92,61.72,6.74,218.49,Loamy,cassava
496.93,10.4,239.03,25.72,71.81,5.31,219.69,Sandy,cassava
330.11,3.47,55.24,32.12,44.49,5.86,42.94,Sandy,millet
938.56,18.91,85.64,20.57,78.29,5.65,256.16,Clay,rice
859.17,8.69,95.64,20.24,71.12,6.01,98.18,Loamy,maize
298.87,11.55,98.08,29.1,33.55,8.04,62.65,Sandy,sorghum
719.17,23.91,268.32,28.56,90.51,5.25,264.91,Loamy,oil_palm
606.22,22.02,239.85,23.93,80.3,6.53,281.94,Loamy,cocoa
762.81,19.76,144.33,22.18,74.73,6.76,90.16,Loamy,maize
1223.07,27.57,110.61,26.24,82.34,5.51,191.58,Clay,rice
681.96,16.46,215.16,27.97,74.82,6.61,159.74,Loamy,yam
1095.22,25.96,68.7,21.78,82.5,7.46,215.67,Loamy,rice
987.93,11.71,262.05,30.63,81.05,4.63,262.04,Loamy,oil_palm
490.22,17.64,225.09,27.96,61.27,6.29,155.27,Sandy,cassava
805.25,25.62,282.91,28.29,91.21,4.71,263.25,Loamy,oil_palm
269.92,8.11,57.17,31.93,30.07,8.2,65.87,Sandy,sorghum
1071.88,13.88,341.1,31.69,90.65,5.57,260.41,Loamy,oil_palm
485.62,7.98,48.0,30.46,50.03,7.46,81.36,Loamy,millet
617.58,21.31,205.91,31.99,90.02,5.92,271.8,Loamy,oil_palm
833.93,17.56,235.24,25.01,77.27,6.76,246.26,Sandy,cocoa
742.34,13.51,288.62,28.98,89.3,4.83,257.61,Loamy,oil_palm
1073.09,15.61,282.75,29.07,83.71,5.14,274.35,Clay,oil_palm
912.86,11.14,251.97,27.09,83.78,6.06,281.42,Clay,cocoa
454.62,14.66,188.93,30.0,76.0,6.25,166.02,Sandy,cassava
392.84,7.75,79.0,32.21,37.28,7.44,55.64,Loamy,millet
301.23,8.99,109.68,31.59,31.7,6.38,61.79,Sandy,sorghum
491.77,9.34,75.02,26.65,39.49,7.4,65.7,Sandy,sorghum
647.99,19.46,214.92,31.31,76.65,6.6,202.24,Sandy,cassava
479.33,8.24,249.99,27.35,72.85,5.75,141.79,Sandy,cassava
1024.11,12.51,87.12,26.38,63.21,6.31,61.56,Loamy,maize
512.77,10.52,231.59,25.19,75.03,6.21,155.34,Loamy,yam
1061.64,12.82,328.49,26.29,87.92,6.22,263.98,Clay,oil_palm
884.72,13.04,183.32,26.16,80.67,5.95,295.29,Loamy,cocoa
521.67,4.27,44.29,33.93,43.19,6.14,83.69,Loamy,sorghum
472.76,11.71,57.34,29.62,35.6,7.1,45.36,Loamy,millet
980.04,22.92,143.18,21.51,61.98,6.1,95.28,Sandy,maize
490.74,14.77,151.82,28.93,55.34,6.01,192.35,Loamy,cassava
221.16,3.46,64.66,35.7,54.0,6.39,54.5,Loamy,millet
446.38,7.05,48.93,34.77,35.44,7.42,85.34,Sandy,millet
883.33,11.01,160.68,19.29,58.74,6.45,100.96,Loamy,maize
468.06,18.06,215.19,26.23,78.73,5.74,179.07,Loamy,yam
798.46,10.93,202.82,24.29,83.77,6.0,276.82,Loamy,cocoa
993.36,21.75,223.54,29.95,79.26,5.17,274.67,Loamy,oil_palm
507.8,9.8,80.98,32.74,58.32,8.08,51.98,Sandy,sorghum
359.24,11.16,109.82,28.72,37.73,7.94,76.75,Sandy,sorghum
1181.95,18.75,87.85,24.49,70.99,5.97,73.4,Clay,maize
530.91,19.35,160.96,28.6,79.43,5.9,206.03,Sandy,cassava
678.6,13.37,257.35,31.35,85.33,4.3,263.13,Loamy,oil_palm
942.43,9.31,217.54,23.06,76.2,5.87,292.79,Clay,cocoa
620.63,23.31,97.32,20.77,59.23,6.26,92.57,Loamy,maize
1108.3,28.18,140.82,26.51,83.38,5.91,253.84,Clay,rice
307.65,7.05,224.83,30.09,73.47,5.85,165.02,Loamy,cassava
530.9,10.86,235.58,25.91,75.33,6.3,253.21,Sandy,cocoa
1138.95,18.14,119.57,23.33,82.15,5.65,213.78,Clay,rice
845.16,16.07,268.73,31.41,82.49,5.15,283.87,Loamy,oil_palm
384.28,10.52,259.33,30.87,71.82,6.52,185.07,Sandy,cassava
294.83,9.86,49.93,34.3,29.69,6.82,49.58,Sandy,millet
672.54,10.74,248.95,27.59,80.94,6.29,259.92,Loamy,cocoa
577.44,15.04,266.75,28.08,68.46,6.14,144.01,Loamy,yam
289.97,11.37,56.75,27.49,25.29,5.61,36.55,Sandy,millet
407.01,11.3,46.53,27.06,52.45,5.61,46.63,Sandy,millet
581.79,13.68,231.52,27.41,72.6,5.7,199.84,Loamy,yam
577.65,10.01,278.04,26.64,68.32,5.85,162.83,Loamy,yam
532.66,8.83,62.79,33.91,47.9,6.1,88.83,Loamy,sorghum
355.69,8.44,86.71,34.5,37.88,7.41,50.33,Sandy,sorghum
1181.04,23.53,132.03,23.41,80.58,6.03,283.0,Loamy,rice
455.79,14.37,267.78,31.59,61.91,5.96,200.0,Loamy,cassava
710.04,22.2,149.6,21.75,73.42,6.35,81.81,Loamy,maize
290.66,4.46,98.3,27.33,33.69,5.68,99.35,Clay,sorghum
415.7,8.39,209.7,30.46,56.41,5.13,202.56,Loamy,cassava
486.63,8.71,35.97,31.95,38.3,7.19,40.69,Sandy,millet
615.35,13.78,228.47,28.45,68.72,6.1,180.41,Loamy,yam
896.79,22.55,237.12,29.23,88.59,5.95,290.6,Sandy,oil_palm
1167.91,10.83,126.32,22.12,81.54,7.34,200.99,Clay,rice
945.6,21.86,108.52,24.86,80.05,7.1,231.3,Loamy,rice
664.73,22.5,155.45,25.72,64.62,6.39,82.3,Clay,maize
524.81,14.16,256.19,25.63,89.32,6.95,277.24,Loamy,cocoa
775.29,16.71,146.02,18.43,62.41,5.69,104.73,Sandy,maize
477.62,5.7,220.5,31.81,70.09,6.55,195.69,Clay,cassava
333.46,5.16,54.64,27.08,48.85,5.99,58.76,Sandy,millet
566.49,20.7,206.47,27.47,65.14,6.47,200.94,Loamy,yam
760.59,20.75,280.56,28.88,77.05,6.63,206.42,Loamy,yam
456.18,4.84,81.9,34.44,33.2,7.79,88.26,Sandy,millet
259.36,6.83,54.78,27.77,44.77,7.05,53.67,Sandy,sorghum
521.48,17.34,204.85,27.33,59.48,5.55,211.13,Sandy,cassava
631.39,17.53,249.37,26.64,75.57,5.33,219.25,Loamy,cassava
307.12,8.91,86.47,29.3,35.94,6.75,51.97,Sandy,sorghum
987.96,12.44,68.6,24.87,79.15,7.25,195.15,Loamy,rice
775.11,24.73,139.58,23.54,83.93,5.62,279.12,Loamy,rice
305.07,12.37,106.25,32.78,33.21,6.98,78.24,Loamy,sorghum
289.47,5.09,79.22,33.95,42.36,5.95,51.49,Sandy,sorghum
936.77,14.29,157.64,24.72,59.85,6.94,89.51,Loamy,maize
386.9,11.75,98.58,26.35,36.69,7.96,72.48,Sandy,sorghum
644.73,19.04,99.58,27.87,58.73,5.58,88.32,Loamy,maize
991.58,25.63,289.29,30.24,84.68,5.28,296.63,Clay,oil_palm
