state,lga,crop,season,area_ha,yield_t_ha,production_t,quality_grade
Enugu,Enugu-LGA-12,oil_palm,2023_dry,386.3,4.88,1883.3,Grade B
Ondo,Ondo-LGA-14,yam,2024_dry,5036.6,11.4,57397.8,Grade B
Ebonyi,Ebonyi-LGA-05,yam,2024_dry,1398.4,13.27,18564.3,Grade C
Abia,Abia-LGA-02,cassava,2022_wet,1431.3,13.71,19623.0,Grade B
Zamfara,Zamfara-LGA-07,millet,2022_wet,101.5,0.3,30.4,Grade A
Osun,Osun-LGA-14,oil_palm,2022_wet,3445.4,3.53,12169.3,Grade A
Enugu,Enugu-LGA-09,maize,2022_dry,1125.9,2.22,2497.6,Grade B
Ebonyi,Ebonyi-LGA-12,oil_palm,2024_wet,1140.8,3.88,4424.4,Grade B
Lagos,Lagos-LGA-04,oil_palm,2023_wet,100.0,3.03,302.9,Grade B
Katsina,Katsina-LGA-01,sorghum,2024_dry,100.0,0.99,99.4,Grade A
Ebonyi,Ebonyi-LGA-04,yam,2022_wet,763.7,9.15,6986.4,Grade B
Oyo,Oyo-LGA-02,sorghum,2023_wet,280.2,1.45,406.0,Grade B
Enugu,Enugu-LGA-14,millet,2024_dry,930.2,0.63,586.9,Grade A
Ekiti,Ekiti-LGA-13,sorghum,2022_dry,1118.7,1.32,1471.7,Grade B
Enugu,Enugu-LGA-01,oil_palm,2022_dry,847.0,3.68,3113.2,Grade A
Zamfara,Zamfara-LGA-06,sorghum,2023_dry,391.9,1.34,526.6,Grade A
Imo,Imo-LGA-14,yam,2024_dry,100.0,7.89,788.7,Grade A
Niger,Niger-LGA-09,rice,2025_wet,955.8,3.13,2991.5,Grade A
Yobe,Yobe-LGA-14,yam,2023_wet,921.2,7.74,7134.3,Grade B
Niger,Niger-LGA-10,maize,2025_wet,2093.5,2.37,4956.7,Grade A
Rivers,Rivers-LGA-09,cassava,2025_wet,100.0,11.17,1117.2,Grade A
Lagos,Lagos-LGA-05,sorghum,2024_dry,159.8,1.31,210.0,Grade A
Adamawa,Adamawa-LGA-11,sorghum,2024_wet,2957.6,1.32,3916.2,Grade A
Taraba,Taraba-LGA-05,yam,2023_wet,1457.4,7.88,11487.2,Grade B
Yobe,Yobe-LGA-03,millet,2023_wet,272.2,0.62,169.1,Grade B
Yobe,Yobe-LGA-08,oil_palm,2025_wet,872.4,1.27,1111.2,Grade B
Katsina,Katsina-LGA-04,oil_palm,2022_wet,1975.6,3.43,6779.8,Grade A
Cross River,Cross River-LGA-13,oil_palm,2023_dry,3818.5,4.66,17786.1,Grade B
Cross River,Cross River-LGA-12,cocoa,2023_wet,100.0,0.41,41.0,Grade A
Oyo,Oyo-LGA-09,cocoa,2022_wet,351.2,0.49,172.1,Grade B
Delta,Delta-LGA-12,millet,2022_dry,101.2,1.64,165.9,Grade A
Osun,Osun-LGA-02,rice,2023_wet,100.0,2.23,222.9,Grade A
Katsina,Katsina-LGA-01,cassava,2025_wet,1417.9,4.0,5671.5,Grade B
Kwara,Kwara-LGA-07,rice,2024_dry,882.2,4.15,3659.5,Grade B
Bayelsa,Bayelsa-LGA-11,yam,2025_wet,822.2,11.05,9084.9,Grade B
Anambra,Anambra-LGA-06,yam,2023_wet,100.0,12.7,1270.3,Grade B
Kano,Kano-LGA-13,sorghum,2023_dry,552.9,1.24,682.8,Grade A
Zamfara,Zamfara-LGA-11,millet,2024_dry,2066.0,0.67,1378.4,Grade B
Nasarawa,Nasarawa-LGA-06,cocoa,2023_wet,1699.6,0.59,1003.9,Grade B
Kaduna,Kaduna-LGA-09,oil_palm,2025_wet,100.0,1.0,100.0,Grade B
FCT,FCT-LGA-09,oil_palm,2023_dry,116.0,1.65,191.3,Grade B
Bauchi,Bauchi-LGA-01,maize,2022_wet,10400.3,2.42,25194.8,Grade B
Anambra,Anambra-LGA-05,yam,2022_wet,100.0,10.13,1013.0,Grade C
Plateau,Plateau-LGA-05,oil_palm,2025_wet,1315.6,5.11,6725.6,Grade B
Oyo,Oyo-LGA-05,sorghum,2024_dry,1750.1,1.27,2222.1,Grade B
Kogi,Kogi-LGA-01,cassava,2024_wet,1713.1,9.33,15987.1,Grade B
Kaduna,Kaduna-LGA-12,millet,2023_dry,2836.1,1.09,3103.4,Grade B
Adamawa,Adamawa-LGA-03,cassava,2023_dry,306.9,8.66,2657.0,Grade A
Niger,Niger-LGA-13,oil_palm,2024_wet,254.0,2.62,664.4,Grade A
Kwara,Kwara-LGA-05,yam,2024_wet,1055.7,14.55,15362.1,Grade B
Anambra,Anambra-LGA-14,yam,2025_wet,100.0,16.65,1664.6,Grade A
Plateau,Plateau-LGA-02,yam,2024_wet,5977.5,8.59,51318.9,Grade A
Niger,Niger-LGA-07,yam,2022_wet,1015.7,9.79,9947.7,Grade B
Plateau,Plateau-LGA-08,yam,2024_wet,323.9,10.4,3367.7,Grade A
Katsina,Katsina-LGA-02,cassava,2022_wet,100.0,4.59,459.1,Grade B
Anambra,Anambra-LGA-05,yam,2025_wet,9894.9,13.3,131640.9,Grade B
Katsina,Katsina-LGA-03,oil_palm,2024_wet,100.0,3.3,329.8,Grade C
FCT,FCT-LGA-02,cocoa,2022_dry,122.7,0.4,49.2,Grade B
Benue,Benue-LGA-14,sorghum,2023_wet,263.9,1.84,484.9,Grade B
Imo,Imo-LGA-13,millet,2025_wet,6296.7,0.6,3752.3,Grade A
Niger,Niger-LGA-05,cassava,2023_dry,389.5,10.03,3906.2,Grade B
Zamfara,Zamfara-LGA-09,cassava,2025_wet,266.2,5.8,1544.8,Grade C
Enugu,Enugu-LGA-02,maize,2025_wet,411.4,1.38,566.6,Grade A
Enugu,Enugu-LGA-14,maize,2022_wet,238.3,1.54,366.4,Grade B
Benue,Benue-LGA-13,millet,2024_dry,1060.6,1.29,1370.7,Grade B
Benue,Benue-LGA-13,millet,2025_wet,893.4,1.45,1291.7,Grade A
Ebonyi,Ebonyi-LGA-03,oil_palm,2024_dry,5328.7,1.67,8907.2,Grade B
Niger,Niger-LGA-02,rice,2024_wet,1304.1,2.26,2948.4,Grade A
Yobe,Yobe-LGA-14,yam,2024_dry,304.7,5.0,1523.4,Grade B
Niger,Niger-LGA-10,sorghum,2025_wet,714.1,1.3,928.0,Grade B
Bauchi,Bauchi-LGA-07,sorghum,2025_wet,525.0,1.41,738.4,Grade B
Cross River,Cross River-LGA-01,cassava,2025_wet,663.0,11.87,7867.6,Grade C
Akwa Ibom,Akwa Ibom-LGA-01,millet,2024_wet,100.0,1.34,134.1,Grade C
Niger,Niger-LGA-06,cocoa,2022_dry,3482.6,0.53,1837.0,Grade C
Kano,Kano-LGA-07,cassava,2023_wet,893.2,9.51,8496.2,Grade B
Yobe,Yobe-LGA-07,yam,2024_wet,260.2,5.0,1300.9,Grade B
Zamfara,Zamfara-LGA-13,cocoa,2024_dry,162.0,0.51,82.1,Grade B
Sokoto,Sokoto-LGA-03,oil_palm,2023_dry,250.5,2.14,536.3,Grade A
Sokoto,Sokoto-LGA-11,sorghum,2024_dry,2631.9,2.12,5584.2,Grade C
Yobe,Yobe-LGA-02,oil_palm,2023_dry,833.7,2.76,2302.8,Grade A
Borno,Borno-LGA-11,rice,2022_dry,1413.4,1.0,1413.4,Grade C
Rivers,Rivers-LGA-12,cassava,2024_dry,224.5,10.79,2423.6,Grade C
Taraba,Taraba-LGA-03,yam,2023_dry,885.6,8.87,7854.8,Grade C
Abia,Abia-LGA-02,millet,2025_wet,317.5,1.34,424.8,Grade B
Ogun,Ogun-LGA-07,oil_palm,2025_wet,100.0,2.22,222.0,Grade C
Yobe,Yobe-LGA-04,cassava,2023_dry,384.2,4.0,1536.7,Grade A
Plateau,Plateau-LGA-01,rice,2022_dry,359.2,3.62,1301.4,Grade B
Kwara,Kwara-LGA-08,oil_palm,2025_wet,201.9,1.72,348.0,Grade B
Osun,Osun-LGA-08,cassava,2023_wet,631.5,10.7,6759.3,Grade B
Jigawa,Jigawa-LGA-10,maize,2025_wet,212.8,0.88,187.8,Grade C
Ebonyi,Ebonyi-LGA-13,maize,2025_wet,217.4,1.88,408.7,Grade B
Kebbi,Kebbi-LGA-04,maize,2022_wet,123.2,2.13,261.9,Grade A
Niger,Niger-LGA-13,cassava,2022_wet,321.0,10.43,3349.0,Grade A
Jigawa,Jigawa-LGA-09,cocoa,2024_wet,5729.8,0.43,2461.1,Grade B
Oyo,Oyo-LGA-03,cassava,2024_wet,1577.4,12.13,19129.8,Grade C
Yobe,Yobe-LGA-01,cocoa,2023_wet,232.9,0.27,62.7,Grade B
Kwara,Kwara-LGA-01,sorghum,2024_dry,151.1,0.54,81.2,Grade B
Kaduna,Kaduna-LGA-06,maize,2023_wet,1200.2,1.52,1822.8,Grade B
Jigawa,Jigawa-LGA-05,oil_palm,2025_wet,314.5,1.65,517.7,Grade A
Bayelsa,Bayelsa-LGA-09,sorghum,2023_wet,118.8,1.12,133.6,Grade B
Kano,Kano-LGA-01,maize,2023_wet,100.0,1.01,101.1,Grade B
Kwara,Kwara-LGA-14,oil_palm,2022_wet,1121.5,3.31,3716.3,Grade A
Plateau,Plateau-LGA-03,yam,2022_wet,402.4,14.36,5778.1,Grade A
Kebbi,Kebbi-LGA-07,cassava,2023_dry,1828.3,7.32,13382.6,Grade C
Akwa Ibom,Akwa Ibom-LGA-14,rice,2022_dry,100.0,3.45,344.7,Grade B
Akwa Ibom,Akwa Ibom-LGA-12,cassava,2022_wet,283.4,11.83,3353.2,Grade A
Katsina,Katsina-LGA-04,cocoa,2022_wet,369.6,0.57,210.1,Grade B
Plateau,Plateau-LGA-11,sorghum,2025_wet,886.3,1.59,1406.1,Grade A
Katsina,Katsina-LGA-05,cocoa,2022_dry,523.2,0.1,52.3,Grade C
Kano,Kano-LGA-01,sorghum,2022_dry,3115.1,1.21,3766.2,Grade B
Niger,Niger-LGA-11,millet,2022_wet,565.9,1.63,921.4,Grade A
Kaduna,Kaduna-LGA-05,yam,2022_wet,995.6,8.0,7965.6,Grade C
Katsina,Katsina-LGA-07,millet,2023_dry,1041.7,0.83,862.0,Grade A
Katsina,Katsina-LGA-04,maize,2022_wet,1743.5,0.76,1319.6,Grade B
Edo,Edo-LGA-09,yam,2025_wet,274.8,9.46,2600.7,Grade B
FCT,FCT-LGA-07,oil_palm,2024_dry,112.5,2.67,300.3,Grade C
Zamfara,Zamfara-LGA-03,oil_palm,2025_wet,981.0,1.46,1434.7,Grade B
Edo,Edo-LGA-08,cassava,2025_wet,495.1,9.99,4945.1,Grade B
Ebonyi,Ebonyi-LGA-08,cocoa,2022_dry,6903.3,0.44,3028.1,Grade B
Imo,Imo-LGA-11,rice,2023_dry,202.4,4.36,881.7,Grade B
Plateau,Plateau-LGA-06,yam,2022_wet,105.7,7.36,777.6,Grade B
Ogun,Ogun-LGA-14,oil_palm,2025_wet,275.5,2.88,794.4,Grade B
Kaduna,Kaduna-LGA-14,maize,2024_dry,136.2,2.56,348.8,Grade B
Edo,Edo-LGA-06,maize,2024_dry,232.4,3.22,747.5,Grade B
Osun,Osun-LGA-10,cassava,2024_dry,598.8,7.46,4463.8,Grade A
Ekiti,Ekiti-LGA-08,yam,2023_wet,220.7,11.71,2584.1,Grade B
Anambra,Anambra-LGA-08,millet,2025_wet,100.0,1.34,134.4,Grade B
Plateau,Plateau-LGA-13,cocoa,2024_dry,608.5,0.33,202.5,Grade B
Ebonyi,Ebonyi-LGA-14,cassava,2023_wet,290.8,12.38,3600.9,Grade C
Lagos,Lagos-LGA-14,maize,2022_dry,195.1,2.01,392.1,Grade B
Gombe,Gombe-LGA-10,cassava,2023_wet,298.1,8.85,2637.9,Grade B
Benue,Benue-LGA-10,cocoa,2023_wet,1557.9,0.38,585.9,Grade B
Delta,Delta-LGA-09,oil_palm,2024_wet,1109.5,3.51,3896.0,Grade B
Benue,Benue-LGA-14,cocoa,2023_dry,2942.5,0.53,1551.6,Grade B
Sokoto,Sokoto-LGA-06,sorghum,2024_wet,325.4,1.53,498.3,Grade B
Kano,Kano-LGA-14,rice,2024_wet,295.5,2.7,796.4,Grade C
Kaduna,Kaduna-LGA-14,oil_palm,2024_wet,104.5,2.93,305.8,Grade B
Anambra,Anambra-LGA-04,maize,2022_dry,200.2,1.99,399.3,Grade B
Taraba,Taraba-LGA-01,oil_palm,2022_dry,39847.1,2.52,100265.5,Grade B
Kwara,Kwara-LGA-13,sorghum,2024_dry,697.9,1.21,847.3,Grade B
Benue,Benue-LGA-11,cassava,2024_dry,121.4,6.81,826.7,Grade A
Yobe,Yobe-LGA-05,sorghum,2022_dry,471.3,0.83,392.1,Grade B
Rivers,Rivers-LGA-09,rice,2023_wet,100.0,2.26,226.4,Grade B
FCT,FCT-LGA-11,maize,2024_dry,100.0,1.99,198.7,Grade B
Osun,Osun-LGA-03,yam,2024_wet,100.0,16.89,1689.1,Grade B
Lagos,Lagos-LGA-07,millet,2024_wet,143.9,1.63,234.2,Grade A
Zamfara,Zamfara-LGA-10,cocoa,2022_dry,100.0,0.23,23.1,Grade A
Kaduna,Kaduna-LGA-04,cassava,2025_wet,1504.2,10.81,16260.3,Grade B
Niger,Niger-LGA-11,maize,2022_dry,133.6,2.59,346.5,Grade B
Cross River,Cross River-LGA-01,cocoa,2024_dry,100.0,0.34,33.8,Grade A
Benue,Benue-LGA-08,yam,2024_wet,608.8,15.16,9229.6,Grade B
Katsina,Katsina-LGA-04,cocoa,2022_wet,100.0,0.32,32.3,Grade B
Jigawa,Jigawa-LGA-09,oil_palm,2024_wet,216.5,4.52,978.9,Grade B
Kano,Kano-LGA-13,yam,2025_wet,643.4,8.85,5695.4,Grade A
Adamawa,Adamawa-LGA-10,cocoa,2024_dry,1122.7,0.22,248.2,Grade C
Osun,Osun-LGA-09,yam,2025_wet,155.1,14.74,2286.1,Grade A
Ondo,Ondo-LGA-09,maize,2022_wet,157.8,1.48,233.2,Grade B
Sokoto,Sokoto-LGA-07,rice,2024_wet,169.5,3.43,580.4,Grade C
Kogi,Kogi-LGA-01,millet,2022_wet,900.5,1.31,1178.7,Grade B
Yobe,Yobe-LGA-06,cocoa,2024_dry,8005.3,0.18,1479.4,Grade A
Ogun,Ogun-LGA-02,millet,2022_wet,187.6,0.93,174.5,Grade B
Imo,Imo-LGA-02,maize,2023_dry,273.0,1.84,503.1,Grade B
Lagos,Lagos-LGA-04,cocoa,2022_dry,2496.6,0.62,1553.0,Grade C
Enugu,Enugu-LGA-04,maize,2022_wet,120.7,2.81,339.4,Grade A
Adamawa,Adamawa-LGA-08,oil_palm,2024_wet,862.6,1.41,1215.9,Grade B
Yobe,Yobe-LGA-02,cassava,2023_dry,215.4,4.0,861.4,Grade C
Gombe,Gombe-LGA-13,cassava,2024_dry,144.7,7.9,1143.2,Grade A
Kwara,Kwara-LGA-04,cassava,2025_wet,100.0,5.92,592.4,Grade B
Bauchi,Bauchi-LGA-04,millet,2024_wet,1010.7,1.97,1995.3,Grade A
Delta,Delta-LGA-01,oil_palm,2025_wet,1709.7,4.26,7278.0,Grade B
Zamfara,Zamfara-LGA-14,oil_palm,2023_wet,452.9,3.0,1358.1,Grade B
Enugu,Enugu-LGA-03,maize,2025_wet,100.0,1.62,162.3,Grade B
Kebbi,Kebbi-LGA-12,maize,2022_dry,267.8,1.32,353.4,Grade B
Gombe,Gombe-LGA-08,oil_palm,2025_wet,1279.5,3.94,5035.3,Grade A
Edo,Edo-LGA-13,millet,2023_dry,238.5,0.83,197.9,Grade A
Cross River,Cross River-LGA-06,millet,2024_dry,995.9,1.18,1178.3,Grade A
Adamawa,Adamawa-LGA-14,millet,2023_wet,125.3,1.26,157.7,Grade B
Ondo,Ondo-LGA-12,maize,2024_wet,100.0,2.73,273.0,Grade B
Borno,Borno-LGA-11,cocoa,2025_wet,1107.3,0.13,138.9,Grade A
Kebbi,Kebbi-LGA-03,millet,2025_wet,2714.1,1.04,2818.9,Grade B
Katsina,Katsina-LGA-08,rice,2022_wet,2220.0,3.11,6904.7,Grade B
Taraba,Taraba-LGA-05,rice,2022_dry,410.7,2.18,894.1,Grade A
Yobe,Yobe-LGA-02,yam,2023_wet,3052.7,5.0,15263.6,Grade B
Yobe,Yobe-LGA-04,millet,2024_wet,5052.6,1.07,5386.9,Grade A
Bayelsa,Bayelsa-LGA-03,millet,2024_dry,1335.5,0.51,679.3,Grade B
Rivers,Rivers-LGA-13,maize,2024_wet,3369.2,1.87,6283.8,Grade A
Niger,Niger-LGA-04,millet,2025_wet,162.6,1.15,186.6,Grade C
Zamfara,Zamfara-LGA-13,maize,2024_dry,608.4,1.41,857.8,Grade B
Katsina,Katsina-LGA-14,cassava,2022_dry,375.9,4.3,1618.1,Grade B
Sokoto,Sokoto-LGA-03,maize,2023_wet,136.6,2.19,299.3,Grade B
Kano,Kano-LGA-12,oil_palm,2024_dry,783.0,3.76,2946.4,Grade C
Plateau,Plateau-LGA-13,millet,2023_dry,304.5,1.27,385.2,Grade C
Taraba,Taraba-LGA-06,cocoa,2023_dry,100.0,0.27,27.4,Grade A
Rivers,Rivers-LGA-08,oil_palm,2025_wet,357.6,5.68,2030.0,Grade C
Yobe,Yobe-LGA-10,cassava,2023_wet,100.0,4.47,447.1,Grade B
Nasarawa,Nasarawa-LGA-11,millet,2022_wet,209.3,1.25,261.8,Grade A
Sokoto,Sokoto-LGA-07,oil_palm,2024_wet,100.0,3.58,357.9,Grade B
Anambra,Anambra-LGA-04,cassava,2023_wet,521.0,10.65,5549.1,Grade B
Delta,Delta-LGA-08,oil_palm,2022_wet,102.8,3.65,375.4,Grade B
Cross River,Cross River-LGA-06,millet,2024_dry,231.8,1.46,338.2,Grade A
Sokoto,Sokoto-LGA-10,cassava,2022_wet,139.0,4.0,556.1,Grade B
Imo,Imo-LGA-14,cassava,2023_dry,1010.6,9.16,9256.4,Grade B
Borno,Borno-LGA-06,sorghum,2023_wet,100.0,0.59,59.5,Grade B
Akwa Ibom,Akwa Ibom-LGA-10,yam,2022_wet,320.5,13.81,4426.7,Grade C
Taraba,Taraba-LGA-10,maize,2025_wet,235.8,2.47,583.1,Grade B
Anambra,Anambra-LGA-13,rice,2025_wet,776.7,2.22,1722.4,Grade A
FCT,FCT-LGA-07,millet,2023_dry,4919.1,1.05,5141.0,Grade A
Gombe,Gombe-LGA-04,sorghum,2022_dry,143.2,0.73,104.2,Grade A
Katsina,Katsina-LGA-01,cassava,2022_dry,205.2,9.22,1892.4,Grade A
Kebbi,Kebbi-LGA-05,cocoa,2023_dry,198.7,0.17,34.4,Grade B
Rivers,Rivers-LGA-04,cocoa,2024_dry,122.2,0.58,70.4,Grade B
Imo,Imo-LGA-01,oil_palm,2025_wet,255.9,3.26,834.8,Grade A
Nasarawa,Nasarawa-LGA-03,sorghum,2025_wet,186.1,1.85,343.3,Grade B
Katsina,Katsina-LGA-12,rice,2023_wet,230.4,1.0,230.4,Grade B
Benue,Benue-LGA-13,millet,2024_wet,503.9,1.54,775.1,Grade B
Delta,Delta-LGA-01,rice,2025_wet,100.0,3.06,306.3,Grade B
Bauchi,Bauchi-LGA-12,cassava,2024_dry,903.4,10.18,9199.2,Grade C
Borno,Borno-LGA-03,cassava,2022_wet,100.0,4.0,400.0,Grade B
Gombe,Gombe-LGA-02,yam,2022_dry,100.0,10.16,1015.9,Grade C
Zamfara,Zamfara-LGA-01,millet,2025_wet,13377.3,0.3,4013.2,Grade A
Niger,Niger-LGA-07,millet,2023_wet,356.0,0.7,248.9,Grade B
Lagos,Lagos-LGA-02,cassava,2023_dry,3512.3,8.88,31181.4,Grade B
Gombe,Gombe-LGA-07,yam,2025_wet,100.0,11.76,1176.1,Grade C
Sokoto,Sokoto-LGA-13,yam,2022_dry,100.0,15.28,1527.7,Grade B
Akwa Ibom,Akwa Ibom-LGA-10,millet,2024_wet,100.0,1.52,151.9,Grade C
Ondo,Ondo-LGA-01,rice,2023_dry,228.7,1.32,302.4,Grade B
Ebonyi,Ebonyi-LGA-12,cocoa,2022_dry,216.7,0.39,83.6,Grade B
Enugu,Enugu-LGA-11,yam,2022_dry,1693.0,12.79,21645.1,Grade B
Ebonyi,Ebonyi-LGA-01,rice,2023_dry,624.2,3.79,2366.9,Grade B
Nasarawa,Nasarawa-LGA-04,rice,2024_dry,222.6,3.86,859.7,Grade A
Adamawa,Adamawa-LGA-08,maize,2024_wet,313.2,1.07,335.5,Grade B
Nasarawa,Nasarawa-LGA-13,oil_palm,2022_wet,485.6,4.43,2150.6,Grade C
Enugu,Enugu-LGA-14,millet,2022_wet,246.8,1.48,365.3,Grade B
Akwa Ibom,Akwa Ibom-LGA-08,yam,2025_wet,1271.6,8.9,11314.2,Grade A
Abia,Abia-LGA-04,cocoa,2023_dry,530.5,0.42,221.4,Grade B
Oyo,Oyo-LGA-07,sorghum,2024_wet,809.4,1.31,1056.5,Grade C
Nasarawa,Nasarawa-LGA-13,millet,2024_wet,343.7,1.23,424.0,Grade A
Ogun,Ogun-LGA-07,oil_palm,2023_wet,906.4,1.0,906.4,Grade B
Katsina,Katsina-LGA-06,cassava,2022_wet,998.5,6.79,6778.6,Grade B
Niger,Niger-LGA-14,rice,2025_wet,3897.9,2.15,8362.1,Grade B
Kogi,Kogi-LGA-07,cocoa,2024_dry,100.0,0.24,23.9,Grade B
Imo,Imo-LGA-13,cocoa,2024_dry,278.1,0.42,116.9,Grade A
Kogi,Kogi-LGA-05,millet,2024_wet,2379.8,1.03,2443.6,Grade A
Jigawa,Jigawa-LGA-07,rice,2023_wet,1058.6,2.53,2679.9,Grade A
Kebbi,Kebbi-LGA-09,oil_palm,2022_dry,314.4,5.25,1652.3,Grade A
FCT,FCT-LGA-07,sorghum,2024_wet,540.3,0.74,397.9,Grade A
Rivers,Rivers-LGA-07,cassava,2023_wet,100.0,7.51,751.0,Grade B
Cross River,Cross River-LGA-11,sorghum,2022_dry,100.0,1.89,189.4,Grade C
Kwara,Kwara-LGA-08,rice,2022_wet,1119.6,2.72,3050.5,Grade A
Nasarawa,Nasarawa-LGA-10,yam,2024_dry,193.7,11.16,2161.8,Grade A
Taraba,Taraba-LGA-12,millet,2025_wet,1262.7,1.76,2227.5,Grade B
Jigawa,Jigawa-LGA-13,maize,2024_wet,977.8,1.18,1157.1,Grade C
Gombe,Gombe-LGA-14,cassava,2023_wet,103.7,11.09,1150.0,Grade A
Kaduna,Kaduna-LGA-14,oil_palm,2022_wet,8367.9,5.39,45075.8,Grade B
Kebbi,Kebbi-LGA-10,maize,2023_dry,109.2,0.5,54.6,Grade B
FCT,FCT-LGA-06,millet,2023_dry,790.7,0.97,769.3,Grade B
Katsina,Katsina-LGA-11,maize,2022_wet,788.6,1.61,1271.0,Grade B
Edo,Edo-LGA-14,maize,2023_dry,2967.0,2.3,6817.8,Grade C
Ebonyi,Ebonyi-LGA-01,maize,2023_dry,299.5,2.42,725.8,Grade B
Kogi,Kogi-LGA-06,millet,2025_wet,858.5,1.14,977.3,Grade A
Rivers,Rivers-LGA-13,maize,2024_wet,100.0,2.74,273.5,Grade C
Gombe,Gombe-LGA-08,yam,2022_wet,456.1,13.76,6276.9,Grade B
Yobe,Yobe-LGA-08,millet,2024_wet,191.8,0.71,135.7,Grade B
Abia,Abia-LGA-07,millet,2024_wet,212.9,1.51,321.0,Grade A
Delta,Delta-LGA-10,cassava,2023_wet,2118.0,9.94,21061.6,Grade A
Lagos,Lagos-LGA-14,cocoa,2025_wet,100.0,0.62,61.5,Grade B
Abia,Abia-LGA-09,maize,2024_dry,1403.6,1.9,2660.5,Grade B
Niger,Niger-LGA-04,maize,2023_dry,100.0,1.36,136.3,Grade A
Cross River,Cross River-LGA-03,cocoa,2024_dry,117.6,0.3,35.4,Grade B
Kebbi,Kebbi-LGA-11,maize,2022_dry,502.1,1.3,652.4,Grade B
Ekiti,Ekiti-LGA-07,yam,2024_dry,1788.7,5.0,8943.5,Grade B
Kaduna,Kaduna-LGA-02,rice,2024_wet,1468.9,3.2,4694.5,Grade C
Delta,Delta-LGA-12,rice,2023_dry,168.0,3.9,655.4,Grade C
Abia,Abia-LGA-01,cassava,2023_dry,928.4,9.55,8867.6,Grade B
Benue,Benue-LGA-07,rice,2025_wet,563.9,2.74,1542.6,Grade C
Imo,Imo-LGA-06,cassava,2024_dry,454.9,13.22,6013.7,Grade A
Delta,Delta-LGA-04,rice,2022_dry,3299.7,1.56,5159.7,Grade B
Katsina,Katsina-LGA-11,rice,2025_wet,100.0,1.62,162.3,Grade B
Benue,Benue-LGA-08,millet,2022_wet,651.6,1.36,885.3,Grade C
Ekiti,Ekiti-LGA-14,yam,2023_wet,1113.2,11.79,13129.4,Grade C
Oyo,Oyo-LGA-10,rice,2023_wet,461.3,3.13,1445.5,Grade B
Borno,Borno-LGA-07,oil_palm,2023_wet,626.4,1.0,626.4,Grade B
Oyo,Oyo-LGA-02,rice,2025_wet,2599.2,3.96,10303.4,Grade A
Lagos,Lagos-LGA-11,rice,2023_dry,4410.6,3.48,15344.6,Grade C
Osun,Osun-LGA-07,cocoa,2024_wet,299.2,0.31,92.9,Grade B
Kebbi,Kebbi-LGA-14,maize,2023_dry,179.9,1.93,346.3,Grade B
Kaduna,Kaduna-LGA-14,cassava,2022_dry,197.3,11.0,2169.1,Grade C
Gombe,Gombe-LGA-12,millet,2023_dry,100.0,1.27,126.7,Grade C
Bayelsa,Bayelsa-LGA-12,oil_palm,2024_wet,691.4,3.36,2321.2,Grade C
Akwa Ibom,Akwa Ibom-LGA-05,rice,2022_dry,449.8,3.33,1497.5,Grade A
Kaduna,Kaduna-LGA-09,oil_palm,2025_wet,389.0,4.8,1868.6,Grade C
Lagos,Lagos-LGA-09,sorghum,2025_wet,3404.0,1.81,6176.7,Grade A
Taraba,Taraba-LGA-01,millet,2025_wet,2598.9,1.57,4085.1,Grade B
Delta,Delta-LGA-13,millet,2024_dry,555.7,1.09,604.4,Grade B
Delta,Delta-LGA-03,cassava,2024_dry,505.9,8.82,4460.5,Grade B
Yobe,Yobe-LGA-01,oil_palm,2025_wet,377.2,1.0,377.2,Grade B
Plateau,Plateau-LGA-10,maize,2023_dry,484.2,2.47,1194.4,Grade B
Kwara,Kwara-LGA-05,cocoa,2024_dry,100.0,0.59,59.3,Grade B
Lagos,Lagos-LGA-14,millet,2022_dry,215.0,1.62,348.8,Grade B
Kano,Kano-LGA-02,rice,2022_wet,824.0,2.13,1752.9,Grade B
Niger,Niger-LGA-06,cocoa,2025_wet,780.1,0.1,78.0,Grade B
Kwara,Kwara-LGA-09,rice,2022_dry,151.1,3.18,480.2,Grade A
Bauchi,Bauchi-LGA-09,sorghum,2023_dry,3467.7,1.87,6475.7,Grade B
Imo,Imo-LGA-08,yam,2025_wet,1455.9,12.42,18075.6,Grade B
Lagos,Lagos-LGA-10,oil_palm,2024_dry,505.9,1.96,990.3,Grade B
Jigawa,Jigawa-LGA-08,sorghum,2023_dry,2006.6,1.84,3692.1,Grade B
Taraba,Taraba-LGA-03,sorghum,2024_wet,230.7,2.38,548.3,Grade B
Adamawa,Adamawa-LGA-11,sorghum,2024_wet,372.4,1.86,693.2,Grade A
Gombe,Gombe-LGA-13,millet,2023_dry,861.2,0.88,755.8,Grade B
Akwa Ibom,Akwa Ibom-LGA-09,rice,2025_wet,743.8,3.34,2484.3,Grade B
Ondo,Ondo-LGA-02,rice,2022_wet,100.0,3.51,350.9,Grade C
Kaduna,Kaduna-LGA-08,sorghum,2024_dry,449.1,0.8,359.7,Grade B
Nasarawa,Nasarawa-LGA-11,yam,2022_dry,997.4,9.93,9900.0,Grade C
Kaduna,Kaduna-LGA-03,cocoa,2025_wet,368.7,0.42,156.7,Grade C
Imo,Imo-LGA-11,sorghum,2023_wet,2596.3,2.02,5240.4,Grade C
Lagos,Lagos-LGA-04,cassava,2022_wet,144.9,7.53,1091.2,Grade B
